type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/theme,properties/sub_theme,properties/feature_name,properties/longitude,properties/latitude
Feature,Point,144.940963510723,-37.799771364073,Office,Office,North Melbourne Football Club,,
Feature,Point,144.940368286395,-37.7997051197931,Leisure/Recreation,Gymnasium/Health Club,North Melbourne Recreation Centre (Gymnasium),,
Feature,Point,144.9785597431,-37.814002127195,Community Use,Public Buildings,Conservatory,,
Feature,Point,144.96246144843,-37.8219745489446,Mixed Use,Retail/Office/Residential/Carpark,Freshwater Place,,
Feature,Point,144.975247619376,-37.8092318636838,Community Use,Fire Station,Metropolitan Fire Brigade (MFB),,
Feature,Point,144.954027907736,-37.8133854259085,Place Of Assembly,Art Gallery/Museum,Koorie Heritage Trust Inc,,
Feature,Point,144.964452974798,-37.8080795360545,Education Centre,Tertiary (University),RMIT University,,
Feature,Point,144.971514146104,-37.7983318676737,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Macarthur Square,,
Feature,Point,144.942429848025,-37.8073823625058,Transport,Railway Station,North Melbourne Railway Station,,
Feature,Point,144.979471339826,-37.8144604899837,Place Of Assembly,Art Gallery/Museum,Cooks' Cottage,,
Feature,Point,144.971521914952,-37.80460262432,Place Of Assembly,Art Gallery/Museum,Royal Exhibition Building,,
Feature,Point,144.958298873269,-37.8125077646598,Community Use,Public Buildings,Melbourne Childrens Court,,
Feature,Point,144.964622218598,-37.8216187583314,Leisure/Recreation,Observation Tower/Wheel,Eureka Skydeck 88,,
Feature,Point,144.957734246387,-37.8132011619962,Community Use,Public Buildings,County Court Melbourne,,
Feature,Point,144.98370007659,-37.8109710654051,Health Services,Private Hospital,Epworth Freemasons Hospital,,
Feature,Point,144.96388920294,-37.8104524079085,Place of Worship,Church,Church of Christ,,
Feature,Point,144.983197322289,-37.8140667110854,Place of Worship,Church,Holy Trinity,,
Feature,Point,144.928362125005,-37.7948087414394,Place of Worship,Church,Holy Rosary,,
Feature,Point,144.953398014034,-37.8219773910249,Community Use,Police Station,Victoria Police,,
Feature,Point,144.965463853978,-37.8077644149636,Place Of Assembly,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,,
Feature,Point,144.95435243249,-37.8252455123297,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,,
Feature,Point,144.968174400274,-37.8242661832902,Place Of Assembly,Theatre Live,MTC Theatre,,
Feature,Point,144.973628364465,-37.8320733992876,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Shrine of Rembrance Reserve,,
Feature,Point,144.935684018873,-37.8121881194053,Leisure/Recreation,Indoor Recreation Facility,Icehouse,,
Feature,Point,144.973433796529,-37.8127621113552,Transport,Railway Station,Parliament Railway Station,,
Feature,Point,144.908190706069,-37.7869105822519,Transport,Railway Station,Flemington Racecourse Railway Station,,
Feature,Point,144.971696548624,-37.7934377042609,Leisure/Recreation,Indoor Recreation Facility,Carlton Baths,,
Feature,Point,144.981383411592,-37.8097374138234,Place Of Assembly,Function/Conference/Exhibition Centre,Dallas Brooks Centre,,
Feature,Point,144.952468571683,-37.8101281201969,Place of Worship,Church,St James Church,,
Feature,Point,144.969174036096,-37.8143851324913,Place of Worship,Church,St Michael's Uniting Church,,
Feature,Point,144.97422190954,-37.809113728917,Place of Worship,Synagogue,East Melbourne Synagogue,,
Feature,Point,144.912142987372,-37.7908082646624,Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,,
Feature,Point,144.975952335785,-37.8143993575938,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Treasury Gardens,,
Feature,Point,144.956846193891,-37.8136147671606,Community Use,Government Building,Melbourne Magistrates Court,,
Feature,Point,144.983402879078,-37.8194921618419,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),,
Feature,Point,144.913822928701,-37.8310746380616,Vacant Land,Vacant Land - Undeveloped Site,Melbourne International Karting Complex,,
Feature,Point,144.975901529712,-37.8101140950474,Place of Worship,Church,St Patricks Cathedral,,
Feature,Point,144.97372641185,-37.811246655376,Office,Office,Parliament House,,
Feature,Point,144.957055454136,-37.8121838748712,Office,Office,Former Royal Mint,,
Feature,Point,144.971049530478,-37.8216381244891,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Queen Victoria Gardens,,
Feature,Point,144.941617889032,-37.8152178789077,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),New Quay,,
Feature,Point,144.935655305362,-37.8142318521296,Purpose Built,Film & RV Studio,Central City Studios,,
Feature,Point,144.942283726231,-37.8152925454954,Transport,Marina,New Quay Marina,,
Feature,Point,144.978487173787,-37.8220456119807,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,,
