_id,Year,Month,Month_name,Day_of_week,Day_type,Mode,Pax_daily
1495,2020,9,Sep,Thursday,Normal Weekday,Tram,43750
1500,2020,9,Sep,Thursday,School Holiday Weekday,Tram,46550
1505,2020,9,Sep,Tuesday,Normal Weekday,Tram,42250
1510,2020,9,Sep,Tuesday,School Holiday Weekday,Tram,49450
1515,2020,9,Sep,Wednesday,Normal Weekday,Tram,43250
1520,2020,9,Sep,Wednesday,School Holiday Weekday,Tram,47750
1525,2020,10,Oct,Friday,Normal Weekday,Tram,79250
1530,2020,10,Oct,Friday,School Holiday Weekday,Tram,56050
1535,2020,10,Oct,Monday,Normal Weekday,Tram,62350
1540,2020,10,Oct,Saturday,Weekend,Tram,82000
1545,2020,10,Oct,Sunday,Weekend,Tram,47550
1550,2020,10,Oct,Thursday,Normal Weekday,Tram,74950
1555,2020,10,Oct,Thursday,School Holiday Weekday,Tram,53200
1560,2020,10,Oct,Tuesday,Normal Weekday,Tram,66250
1565,2020,10,Oct,Wednesday,Normal Weekday,Tram,75000
1570,2020,11,Nov,Friday,Normal Weekday,Tram,179900
1575,2020,11,Nov,Monday,Normal Weekday,Tram,147650
1580,2020,11,Nov,Saturday,Weekend,Tram,167950
1585,2020,11,Nov,Sunday,Weekend,Tram,108850
1590,2020,11,Nov,Thursday,Normal Weekday,Tram,162950
1595,2020,11,Nov,Tuesday,Normal Weekday,Tram,158350
1600,2020,11,Nov,Wednesday,Normal Weekday,Tram,153250
1605,2020,12,Dec,Friday,Normal Weekday,Tram,271850
1610,2020,12,Dec,Monday,Normal Weekday,Tram,198500
1615,2020,12,Dec,Monday,School Holiday Weekday,Tram,216650
1620,2020,12,Dec,Saturday,Weekend,Tram,190100
1625,2020,12,Dec,Sunday,Weekend,Tram,131350
1630,2020,12,Dec,Thursday,Normal Weekday,Tram,244250
1635,2020,12,Dec,Thursday,School Holiday Weekday,Tram,151850
1640,2020,12,Dec,Tuesday,Normal Weekday,Tram,211200
1645,2020,12,Dec,Tuesday,School Holiday Weekday,Tram,197700
1650,2020,12,Dec,Wednesday,Normal Weekday,Tram,237000
1655,2020,12,Dec,Wednesday,School Holiday Weekday,Tram,207200
1660,2021,1,Jan,Friday,Normal Weekday,Tram,232100
1665,2021,1,Jan,Friday,School Holiday Weekday,Tram,222250
1670,2021,1,Jan,Monday,School Holiday Weekday,Tram,168150
1675,2021,1,Jan,Saturday,Weekend,Tram,166500
1680,2021,1,Jan,Sunday,Weekend,Tram,122100
1685,2021,1,Jan,Thursday,Normal Weekday,Tram,268350
1690,2021,1,Jan,Thursday,School Holiday Weekday,Tram,209300
1695,2021,1,Jan,Tuesday,School Holiday Weekday,Tram,196200
1700,2021,1,Jan,Wednesday,School Holiday Weekday,Tram,218700
1705,2021,2,Feb,Friday,Normal Weekday,Tram,270150
1710,2021,2,Feb,Monday,Normal Weekday,Tram,201950
1715,2021,2,Feb,Saturday,Weekend,Tram,170250
1720,2021,2,Feb,Sunday,Weekend,Tram,120550
1725,2021,2,Feb,Thursday,Normal Weekday,Tram,265500
1730,2021,2,Feb,Tuesday,Normal Weekday,Tram,213950
1735,2021,2,Feb,Wednesday,Normal Weekday,Tram,228200
1740,2021,3,Mar,Friday,Normal Weekday,Tram,329450
1745,2021,3,Mar,Monday,Normal Weekday,Tram,288500
1750,2021,3,Mar,Saturday,Weekend,Tram,241500
1755,2021,3,Mar,Sunday,Weekend,Tram,178350
1760,2021,3,Mar,Thursday,Normal Weekday,Tram,324600
1765,2021,3,Mar,Tuesday,Normal Weekday,Tram,308200
1770,2021,3,Mar,Wednesday,Normal Weekday,Tram,325200
1775,2021,4,Apr,Friday,Normal Weekday,Tram,375200
1780,2021,4,Apr,Friday,School Holiday Weekday,Tram,362350
1785,2021,4,Apr,Monday,Normal Weekday,Tram,312100
1790,2021,4,Apr,Monday,School Holiday Weekday,Tram,316000
1795,2021,4,Apr,Saturday,Weekend,Tram,269700
